EF wetsurface 3 1
NODES 4228
0 24.5223 -1.29846 -5.57005 
1 24.6199 -0.31993 -5.9653 
2 23.6553 -0.3885 -5.68852 
3 23.8644 -1.06529 -5.49363 
4 25.507 -1.25049 -5.79886 
5 25.4881 -0.41892 -6.04306 
6 26.362 -1.38882 -5.91121 
7 26.3427 -0.53665 -6.15232 
8 27.2792 -1.24786 -6.1261 
9 26.9877 -0.61277 -6.30104 
10 27.6111 -0.85463 -6.40714 
11 27.3094 -0.23836 -6.66791 
12 28.2193 -1.60004 -6.29091 
13 28.2702 -1.04095 -6.4719 
14 28.2736 -0.23598 -6.85557 
15 29.0698 -1.38142 -6.54936 
16 29.1425 -0.32781 -6.91531 
17 28.665 -1.70455 -6.39451 
18 29.0096 -2.2727 -6.32881 
19 28.1531 -2.31248 -6.12523 
20 28.9824 -3.11242 -6.07908 
21 28.1553 -3.03866 -5.93037 
22 29.0112 -3.79109 -5.77229 
23 28.1975 -3.70733 -5.61503 
24 28.1819 -4.25045 -5.25405 
25 29.0125 -4.33778 -5.32358 
26 29.0215 -4.79669 -4.80415 
27 28.1663 -4.69979 -4.75134 
28 27.272 -4.0253 -5.19692 
29 27.5469 -3.61444 -5.49047 
30 27.2669 -4.58552 -4.64128 
31 27.2481 -3.0663 -5.71031 
32 26.9472 -3.4689 -5.39151 
33 26.2789 -3.35312 -5.29944 
34 26.3127 -2.80824 -5.57261 
35 26.2554 -4.03712 -4.92144 
36 25.4719 -3.00805 -5.29204 
37 25.33 -3.82045 -4.83733 
38 26.6319 -4.49888 -4.56332 
39 26.2714 -4.83146 -4.05512 
40 25.8752 -4.39041 -4.45425 
41 27.2537 -4.98319 -4.04247 
42 26.2797 -5.15431 -3.34479 
43 27.1944 -5.20414 -3.36919 
44 28.131 -5.06198 -4.08303 
45 28.1288 -5.30447 -3.23615 
46 29.0417 -5.1071 -4.15306 
47 29.0935 -5.29313 -3.44374 
48 29.0883 -5.47701 -2.82538 
49 28.5027 -5.46389 -2.77534 
50 28.1636 -5.58045 -2.2432 
51 29.1047 -5.6358 -2.15063 
52 28.1407 -5.80003 -1.2875 
53 29.0675 -5.81133 -1.29051 
54 27.7473 -5.40942 -2.71883 
55 27.1617 -5.38766 -2.71636 
56 27.1548 -5.60112 -2.05902 
57 26.289 -5.35033 -2.6878 
58 26.2884 -5.58155 -2.00851 
59 27.2141 -5.78755 -1.27377 
60 27.2217 -5.91269 -0.424347 
61 28.1382 -5.91356 -0.434113 
62 26.2978 -5.7778 -1.23998 
63 26.307 -5.9153 -0.407386 
64 25.397 -5.76102 -1.22071 
65 25.3967 -5.54784 -1.98245 
66 25.3974 -5.91405 -0.401155 
67 25.3958 -5.29976 -2.661 
68 24.4962 -5.74373 -1.20891 
69 24.4973 -5.51621 -1.94714 
70 24.4897 -5.91452 -0.399976 
71 24.5179 -5.24885 -2.63024 
72 23.5998 -5.72126 -1.20764 
73 23.5932 -5.48341 -1.90456 
74 23.5769 -5.9137 -0.411304 
75 23.5946 -5.229 -2.5165 
76 22.6564 -5.64575 -1.33487 
77 23.0386 -5.46538 -1.8657 
78 22.6502 -5.90934 -0.417454 
79 22.6256 -5.25836 -2.31813 
80 22.2576 -5.41655 -1.79709 
81 21.6686 -5.38525 -1.78044 
82 21.6606 -5.16125 -2.37901 
83 21.6667 -5.68527 -1.13747 
84 20.8092 -5.343 -1.72906 
85 20.8015 -5.6734 -1.09184 
86 21.7236 -5.90482 -0.4113 
87 21.7236 -5.90537 0.407516 
88 22.6502 -5.90932 0.417599 
89 20.8078 -5.90556 -0.389357 
90 20.8078 -5.90549 0.389785 
91 19.8999 -5.90575 -0.37381 
92 19.8996 -5.64759 -1.0703 
93 19.8995 -5.90566 0.374252 
94 19.9132 -5.27694 -1.71189 
95 18.9878 -5.89494 -0.383781 
96 18.9901 -5.61477 -1.05449 
97 18.9879 -5.89299 0.393814 
98 18.9826 -5.22988 -1.66298 
99 18.0794 -5.88354 -0.361916 
100 18.0811 -5.57434 -1.03216 
101 18.0793 -5.88341 0.362532 
102 18.0695 -5.18509 -1.63819 
103 17.1768 -5.87216 -0.355295 
104 17.1868 -5.53464 -0.995061 
105 17.1782 -5.87206 0.355933 
106 17.1737 -5.15013 -1.60436 
107 16.2965 -5.86398 -0.350104 
108 16.321 -5.47169 -0.991276 
109 16.2963 -5.86399 0.350098 
110 16.3274 -5.12195 -1.55061 
111 15.2795 -5.76374 -0.525534 
112 15.6626 -5.42957 -0.964533 
113 15.2775 -5.76301 0.527368 
114 15.2751 -5.04439 -1.4676 
115 14.8924 -5.37632 -0.909983 
116 14.3096 -5.35365 -0.864616 
117 14.2672 -4.96028 -1.35969 
118 14.3139 -5.82052 -0.334672 
119 13.3843 -5.3375 -0.80013 
120 13.2917 -5.79418 -0.327456 
121 14.3153 -5.82192 0.330277 
122 14.3105 -5.35418 0.8641 
123 14.9026 -5.37951 0.907532 
124 13.2894 -5.79561 0.323493 
125 13.3849 -5.33655 0.801157 
126 12.4642 -5.77086 0.320574 
127 12.4299 -5.77105 -0.317231 
128 12.53 -5.29141 0.782196 
129 12.5251 -5.28684 -0.786187 
130 11.5691 -5.75166 0.307124 
131 11.5548 -5.74523 -0.320346 
132 11.6477 -5.26026 0.756645 
133 11.6395 -5.25908 -0.757154 
134 10.697 -5.73515 0.318758 
135 10.6914 -5.74637 -0.29339 
136 10.7491 -5.24672 0.732542 
137 10.7518 -5.24864 -0.731236 
138 9.79507 -5.67735 0.368898 
139 9.79355 -5.67519 -0.373092 
140 9.85808 -5.1995 0.719318 
141 9.86446 -5.2069 -0.714955 
142 8.86322 -5.67049 0.296282 
143 8.86688 -5.66656 -0.304178 
144 8.90593 -5.05551 0.721311 
145 8.94439 -5.05786 -0.723182 
146 7.96083 -5.58011 0.381848 
147 7.96051 -5.58011 -0.381862 
148 7.95664 -5.05477 0.669559 
149 7.95234 -5.06231 -0.665707 
150 7.05782 -5.59265 0.290121 
151 7.0629 -5.60739 -0.266042 
